category,role_k1000_v3_num
customer_service_non_sales_marketing,309
customer_service_non_sales_marketing,455
customer_service_non_sales_marketing,508
customer_service_non_sales_marketing,677
customer_service_non_sales_marketing,678
customer_service_non_sales_marketing,699
customer_service_non_sales_marketing,700
customer_service_non_sales_marketing,701
customer_service_non_sales_marketing,744
customer_service_non_sales_marketing,746
customer_service_non_sales_marketing,747
customer_service_non_sales_marketing,748
customer_service_non_sales_marketing,749
customer_service_non_sales_marketing,750
customer_service_non_sales_marketing,751
developer,524
developer,528
developer,629
developer,681
developer,845
developer,850
developer,854
developer,859
developer,862
developer,871
developer,877
developer,878
developer,879
developer,882
developer,886
developer,892
developer,893
developer,894
developer,895
developer,896
developer,898
developer,901
developer,906
developer,909
developer,910
developer,914
engineer,1
engineer,11
engineer,18
engineer,22
engineer,23
engineer,25
engineer,27
engineer,30
engineer,31
engineer,32
engineer,33
engineer,38
engineer,39
engineer,40
engineer,41
engineer,42
engineer,43
engineer,44
engineer,45
engineer,46
engineer,49
engineer,51
engineer,52
engineer,53
engineer,54
engineer,55
engineer,56
engineer,57
engineer,58
engineer,59
engineer,62
engineer,70
engineer,75
engineer,76
engineer,102
engineer,103
engineer,334
engineer,465
engineer,500
engineer,526
engineer,842
engineer,855
engineer,858
engineer,863
engineer,865
engineer,866
engineer,867
engineer,869
engineer,872
engineer,873
engineer,876
engineer,881
engineer,883
engineer,884
engineer,887
engineer,889
engineer,890
engineer,891
engineer,897
engineer,899
engineer,900
engineer,903
engineer,904
engineer,908
engineer,913
engineer,917
engineer,922
engineer,923
engineer,924
researcher,111
researcher,223
researcher,226
researcher,569
researcher,582
researcher,849
researcher,857
retail_sales,658
retail_sales,816
sales_or_marketing_non_retail,183
sales_or_marketing_non_retail,209
sales_or_marketing_non_retail,266
sales_or_marketing_non_retail,312
sales_or_marketing_non_retail,448
sales_or_marketing_non_retail,493
sales_or_marketing_non_retail,527
sales_or_marketing_non_retail,652
sales_or_marketing_non_retail,661
sales_or_marketing_non_retail,663
sales_or_marketing_non_retail,666
sales_or_marketing_non_retail,667
sales_or_marketing_non_retail,668
sales_or_marketing_non_retail,672
sales_or_marketing_non_retail,673
sales_or_marketing_non_retail,674
sales_or_marketing_non_retail,679
sales_or_marketing_non_retail,683
sales_or_marketing_non_retail,685
sales_or_marketing_non_retail,688
sales_or_marketing_non_retail,693
sales_or_marketing_non_retail,695
sales_or_marketing_non_retail,702
sales_or_marketing_non_retail,703
sales_or_marketing_non_retail,704
sales_or_marketing_non_retail,705
sales_or_marketing_non_retail,706
sales_or_marketing_non_retail,707
sales_or_marketing_non_retail,708
sales_or_marketing_non_retail,709
sales_or_marketing_non_retail,710
sales_or_marketing_non_retail,711
sales_or_marketing_non_retail,712
sales_or_marketing_non_retail,713
sales_or_marketing_non_retail,714
sales_or_marketing_non_retail,717
sales_or_marketing_non_retail,720
sales_or_marketing_non_retail,722
sales_or_marketing_non_retail,723
sales_or_marketing_non_retail,725
sales_or_marketing_non_retail,726
sales_or_marketing_non_retail,727
sales_or_marketing_non_retail,728
sales_or_marketing_non_retail,729
sales_or_marketing_non_retail,730
sales_or_marketing_non_retail,731
sales_or_marketing_non_retail,732
sales_or_marketing_non_retail,733
sales_or_marketing_non_retail,734
sales_or_marketing_non_retail,735
sales_or_marketing_non_retail,736
sales_or_marketing_non_retail,737
sales_or_marketing_non_retail,738
sales_or_marketing_non_retail,739
sales_or_marketing_non_retail,742
sales_or_marketing_non_retail,802
sales_or_marketing_non_retail,805
sales_or_marketing_non_retail,806
sales_or_marketing_non_retail,811
sales_or_marketing_non_retail,812
sales_or_marketing_non_retail,910
scientist,67
scientist,99
scientist,100
scientist,105
scientist,109
scientist,224
scientist,875
technician,2
technician,4
technician,8
technician,28
technician,29
technician,35
technician,36
technician,50
technician,60
technician,61
technician,64
technician,65
technician,69
technician,73
technician,82
technician,106
technician,258
technician,261
technician,274
technician,283
technician,284
technician,292
technician,297
technician,298
technician,300
technician,305
technician,339
technician,386
technician,462
technician,466
technician,475
technician,496
technician,789
technician,810
technician,925
technician,927
technician,930
technician,931
technician,938
technician,939
technician,941
technician,942
technician,945
technician,951
technician,953
technician,957
technician,959
technician,965
technician,969
technician,970
technician,973
technician,977
technician,978
technician,979
technician,982
technician,985
technician,995
technician,996
technician,998
