sm_type,role_k1000_v3_num
selected_vars_gbrl_peremp_compensation_1,21
selected_vars_gbrl_peremp_compensation_1,159
selected_vars_gbrl_peremp_compensation_1,160
selected_vars_gbrl_peremp_compensation_1,171
selected_vars_gbrl_peremp_compensation_1,206
selected_vars_gbrl_peremp_compensation_1,209
selected_vars_gbrl_peremp_compensation_1,309
selected_vars_gbrl_peremp_compensation_1,325
selected_vars_gbrl_peremp_compensation_1,343
selected_vars_gbrl_peremp_compensation_1,368
selected_vars_gbrl_peremp_compensation_1,377
selected_vars_gbrl_peremp_compensation_1,392
selected_vars_gbrl_peremp_compensation_1,393
selected_vars_gbrl_peremp_compensation_1,417
selected_vars_gbrl_peremp_compensation_1,448
selected_vars_gbrl_peremp_compensation_1,479
selected_vars_gbrl_peremp_compensation_1,548
selected_vars_gbrl_peremp_compensation_1,633
selected_vars_gbrl_peremp_compensation_1,641
selected_vars_gbrl_peremp_compensation_1,645
selected_vars_gbrl_peremp_compensation_1,652
selected_vars_gbrl_peremp_compensation_1,654
selected_vars_gbrl_peremp_compensation_1,666
selected_vars_gbrl_peremp_compensation_1,673
selected_vars_gbrl_peremp_compensation_1,675
selected_vars_gbrl_peremp_compensation_1,677
selected_vars_gbrl_peremp_compensation_1,678
selected_vars_gbrl_peremp_compensation_1,680
selected_vars_gbrl_peremp_compensation_1,682
selected_vars_gbrl_peremp_compensation_1,683
selected_vars_gbrl_peremp_compensation_1,685
selected_vars_gbrl_peremp_compensation_1,687
selected_vars_gbrl_peremp_compensation_1,688
selected_vars_gbrl_peremp_compensation_1,693
selected_vars_gbrl_peremp_compensation_1,702
selected_vars_gbrl_peremp_compensation_1,705
selected_vars_gbrl_peremp_compensation_1,706
selected_vars_gbrl_peremp_compensation_1,707
selected_vars_gbrl_peremp_compensation_1,710
selected_vars_gbrl_peremp_compensation_1,711
selected_vars_gbrl_peremp_compensation_1,716
selected_vars_gbrl_peremp_compensation_1,720
selected_vars_gbrl_peremp_compensation_1,724
selected_vars_gbrl_peremp_compensation_1,725
selected_vars_gbrl_peremp_compensation_1,728
selected_vars_gbrl_peremp_compensation_1,730
selected_vars_gbrl_peremp_compensation_1,735
selected_vars_gbrl_peremp_compensation_1,740
selected_vars_gbrl_peremp_compensation_1,745
selected_vars_gbrl_peremp_compensation_1,775
selected_vars_gbrl_peremp_compensation_1,791
selected_vars_gbrl_peremp_compensation_1,805
selected_vars_gbrl_peremp_compensation_1,806
selected_vars_gbrl_peremp_compensation_1,808
selected_vars_gbrl_peremp_compensation_1,811
selected_vars_gbrl_peremp_compensation_1,836
selected_vars_gbrl_peremp_compensation_1,864
selected_vars_gbrl_peremp_compensation_1,875
selected_vars_gbrl_peremp_compensation_1,879
selected_vars_gbrl_peremp_compensation_1,897
selected_vars_gbrl_peremp_compensation_1,911
